"Story","Title","Result","Date","Stability","Duration (s)"
"Search in Olx with data from feature","Search a specific product in olx using all filters","FAILURE","2019-04-10T10:19:54.224-05:00[America/Bogota]","0.0","174.87"
"Search in Olx with data from feature","Search a random product in olx using filters","SUCCESS","2019-04-10T10:22:49.515-05:00[America/Bogota]","0.0","45.32"
